Bone Rattler	1	CMB1;CMB2	Effect:create	create four Reassembling Skeleton token cards
_____ _____ Rocketship	1	UNF	Effect:choose	choose a letter
Spare Changeling	1	UNK	Trigger:Whenever you pay an additional cost while casting a spell	Whenever you pay an additional cost while casting a spell, you may return this card from your graveyard to your hand.
Return of the Nightstalkers	1	P02	Effect:~	~ all Nightstalker permanent cards from your graveyard to the battlefield. Then destroy all Swamps you control.
"Lifetime" Pass Holder	1	UNF	Trigger:Whenever you roll to visit your Attractions	Whenever you roll to visit your Attractions, if you roll a 6, you may return this card from your graveyard to the battlefield.
Animate Wall	0	2ED;30A;3ED;4BB;4ED;5ED;6ED;CED;CEI;FBB;LEA;LEB;ME1;SUM	NO-GAP-DETAILS	
Champions of Minas Tirith	1	LTC	Effect:can't	can't attack you
Optimus Prime, Autobot Leader	1	BOT	Effect:when	When that creature deals combat damage to a player this turn, convert ~
Hellkite Hatchling	1	CON;PC2;PCA	Swallow:Condition_If	Condition_If — Devour 1 (As this creature enters, you may sacrifice any number of creatures. It enters with that many +1/+1 counters on it.) This creature 
Fear My Authority	1	DSC	Effect:Unsupported unless clause	abandon this scheme unless you discard a card or pay 3 life (unless: you discard a card or pay 3 life)
Brain Pry	1	DIS	Swallow:Condition_If	Condition_If — Choose a nonland card name. Target player reveals their hand. That player discards a card with that name. If they can't, you draw a card.
Six-Sided Die	1	UNF	Effect:roll	Roll a ~
Farideh's Fireball	0	AFR;HBG	NO-GAP-DETAILS	
Azor's Gateway	1	PLST;PRIX;RIX	Swallow:Condition_If	Condition_If — {1}, {T}: Draw a card, then exile a card from your hand. If cards with five or more different mana values are exiled with Azor's Gateway, yo
Phosphorescent Feast	1	EVE;FUT	Swallow:DynamicQty	DynamicQty — Chroma — Reveal any number of cards in your hand. You gain 2 life for each green mana symbol in those cards' mana costs.
The Countering Runner	3	UNK	Effect:deal;Effect:unknown;Trigger:Whenever a spell an opponent controls is countered by a spell or ability you control	Ready to run
Grinning Totem	1	6ED;MIR;TSB	Effect:until	Until the beginning of your next upkeep, you may play that card
Teleport	0	BCHR;CHR;LEG	NO-GAP-DETAILS	
Sovereign's Realm	2	CN2	Effect:static_structure;Effect:this	Your starting deck can't have basic land cards and your starting hand size is five.
Skybreen	1	OHOP;OPCA	Effect:unknown	Spells that share a card type with the top card of a library can't be cast.
Vhal, Scholar of Creation	1	HBG	Effect:shuffle	shuffle the other into your library
Shellephant	1	UST	Swallow:Optional_YouMay	Optional_YouMay — {0}: Choose one. You may activate this ability while Shellephant is in any zone. • Shellephant has base power and toughness 1/4. • Shell
Homarid	1	FEM	Trigger:Whenever there are four or more tide counters on ~	Whenever there are four or more tide counters on ~, remove all tide counters from it.
Pampered Loamfrill	1	YTDM	Effect:conjure	Renew — {1}{G}, Exile this card from your graveyard: Conjure a duplicate of another target creature card in your graveyard onto the top of your library. The dup
Intangible Vibes	1	MB2	Effect:static_structure	All creatures are tokens.
Your Wish Is My Command	1	MB2	Effect:choose	choose an additional mode
Signal the Clans	1	GTC	Swallow:Condition_If	Condition_If — Search your library for three creature cards and reveal them. If you reveal three cards with different names, choose one of them at random a
Scavenger Hunt	4	UNF	Effect:choose;Effect:claim;Effect:have;Effect:reveal	Choose "a humanoid animal or alien," "food," or "horns and tusks" at random
Blasphemous Edict	1	FDN;PFDN	Swallow:Condition_If	Condition_If — You may pay {B} rather than pay this spell's mana cost if there are thirteen or more creatures on the battlefield. Each player sacrifices th
Honored Hierarch	0	CP3;ORI;PORI;PRM	NO-GAP-DETAILS	
Krovikan Horror	1	ALL;ME2	Swallow:Condition_If	Condition_If — At the beginning of the end step, if this card is in your graveyard with a creature card directly above it, you may return this card to your
Void	1	EMA;INV;TSB	Swallow:DynamicQty	DynamicQty — Choose a number. Destroy all artifacts and creatures with mana value equal to that number. Then target player reveals their hand and discard
Loopy Lobster	2	CMB1;CMB2	Cost:Vigilance. {T};Effect:unknown	Four-faced
Creepy Puppeteer	1	DBL;PRM;PVOW;VOW	Swallow:Condition_If	Condition_If — Haste Whenever this creature attacks, if you attacked with exactly one other creature this combat, you may have that creature's base power a
Darksteel Monolith	1	CMM	Effect:unknown	Once each turn, you may pay {0} rather than pay the mana cost for a colorless spell you cast from your hand.
Hoisted Hireling	0	UND;UST	NO-GAP-DETAILS	
Ethereal Valkyrie	1	KHC	Effect:its	Its foretell cost is its mana cost reduced by {2}
Scholarship Sponsor	1	C21;PRM	Effect:fewer	fewer lands than the player who controls the most lands searches their library for a number of basic land cards less than or equal to the difference
Angel of Eternal Dawn	2	YMID	Effect:effect_structure;Effect:static_structure	It can't become night.
Dementia Sliver	2	TSP	Swallow:ActivateOnlyDuring;Swallow:Condition_If	ActivateOnlyDuring — All Slivers have "{T}: Choose a card name. Target opponent reveals a card at random from their hand. If that card has the chosen name, that
Spooky Clown Mox	1	SUNF	Effect:unknown	{TK}{TK} — 1/5
Gleemox	1	PRM	Effect:effect_structure	This card is banned.
You Cannot Hide from Me	1	DSC	Effect:abandon	abandon this scheme
Ichormoon Gauntlet	1	ONE;PONE	Effect:put	Put an additional counter of that kind on that permanent
Mobile Clone	2	UNF	Effect:that;Effect:using	Using a mobile device, take a picture of target creature. That device enters as a token that's a photocopy of the pictured creature.
Volrath's Shapeshifter	0	STH;VMA	NO-GAP-DETAILS	
Ashnod's Coupon	2	PAL04;UGL	Effect:get;Effect:pay	{T}, Sacrifice ~: Target player gets you target drink. You pay any costs for the drink.
Spatial Binding	1	MIR	Effect:until	Pay 1 life: Until your next upkeep, target permanent can't phase out.
Lim-Dûl's Hex	1	ICE	Swallow:DynamicQty	DynamicQty — At the beginning of your upkeep, for each player, this enchantment deals 1 damage to that player unless they pay {B} or {3}.
Dragonborn Immolator	1	HBG	Effect:note	note its power
Capital Punishment	1	CN2	Effect:vote	Council's dilemma — Starting with you, each player votes for death or taxes. Each opponent sacrifices a creature of their choice for each death vote and discard
Wayta, Trainer Prodigy	1	LCC	Effect:this	This ability costs {2} less to activate if it targets two creatures you control
Expansive Reapplication	1	YSOS	Effect:conjure	Conjure a random creature card with mana value X onto the battlefield
The World Spell	0	DMU;PDMU	NO-GAP-DETAILS	
The Most Dangerous Gamer	2	UNF	Trigger:Whenever you claim the prize of an Attraction;Trigger:Whenever you open an Attraction	Whenever you open an Attraction, put a +1/+1 counter on ~.
The Superlatorium	1	UNF	Effect:claim	claim the prize!
Widespread Panic	1	C13	Trigger:Whenever a spell or ability causes its controller to shuffle their library	Whenever a spell or ability causes its controller to shuffle their library, that player puts a card from their hand on top of their library.
Syndicate Infiltrator	0	SNC	NO-GAP-DETAILS	
Identity Crisis	1	ARB	Effect:graveyard	graveyard
Tarmogoyf Nest	1	M3C	Effect:create	{1}{G}, {T}: Create a ~ token.
Fists of Flame	1	CMM;CMR;J21;J25;MH1;PLST;TLE	Swallow:DynamicQty	DynamicQty — Draw a card. Until end of turn, target creature gains trample and gets +1/+0 for each card you've drawn this turn. (A creature with trample 
Stocking Tiger	2	HHO	Effect:static_structure;Effect:unwrap	~ enters with a sealed Magic booster pack under it.
Urza, Academy Headmaster	2	UST	Effect:com;Effect:head	[+1]: Head to AskUrza.com and click +1.
Geometric Weird	1	CMB1;CMB2	Effect:have	have ~'s base power and toughness each become equal to the greatest number of spells and abilities from different sources that were on the stack simultaneously 
Squid Fire Knight	2	SUNF	Effect:the;Effect:unknown	{TK}{TK} — {T}: The next time target player would roll one or more dice this turn, instead they roll that many dice plus one, then you choose one of those rolls
Scion of Draco	1	MH2;PLST;PMH2;PRM;SLD	Effect:static_structure	Each creature you control has vigilance if it's white, hexproof if it's blue, lifelink if it's black, first strike if it's red, and trample if it's green.
Rimefeather Owl	1	CSP	Effect:unknown	Permanents with ice counters on them are snow.
Andrios, Roaming Explorer	1	PH21	Effect:creature	Creature spells you spend this mana to cast have their base power and toughness become 4/3
Clockwork Steed	2	5ED;HML;ME2	Effect:can't;Effect:put	{X}, {T}: Put up to X +1/+0 counters on ~. This ability can't cause the total number of +1/+0 counters on ~ to be greater than four. Activate only during your u
Squirrel Stack	2	UNF	Effect:claim;Effect:have	have five seconds to stack dice on top of one another
Parallel Thoughts	1	SCG	Effect:shuffle	shuffle that pile
Spiritual Sanctuary	1	LEG	Swallow:Condition_If	Condition_If — At the beginning of each player's upkeep, if that player controls a Plains, they gain 1 life.
Aegar, the Freezing Flame	1	KHM;MUL;PRM	Effect:wizard,	Wizard, or spell you controlled dealt damage to it this turn, draw a card
Shape Anew	1	SOM	Effect:the	The controller of target artifact sacrifices it, then reveals cards from the top of their library until they reveal an artifact card. That player puts that card
Invasion of Tarkir	1	MOM;PMOM	Effect:deal	deal X plus 2 damage to any other target, where X is the number of cards revealed this way
Gather Specimens	1	ALA	Effect:it	If a creature would enter the battlefield under an opponent's control this turn, it enters under your control instead.
Urborg Scavengers	0	MAT	NO-GAP-DETAILS	
Mutable Pupa	1	YEOE	Effect:~	~ perpetually gains flying if that creature has flying
Harper Recruiter	1	CLB;PLST	Swallow:Optional_YouMay	Optional_YouMay — Flying Whenever this creature attacks, look at the top four cards of your library. You may reveal a Cleric card, a Rogue card, a Warrior car
Temple of Power	1	LCI	Swallow:Condition_If	Condition_If — (Transforms from Ojer Axonil, Deepest Might.) {T}: Add {R}. {2}{R}, {T}: Transform this land. Activate only if red sources you controlled de
Punctuate	1	UNH	Effect:deal	~ deals damage to target creature equal to half the number of punctuation marks in that creature's text box.
Creature Guy	2	UNH	Swallow:Condition_If;Swallow:Optional_YouMay	Optional_YouMay — Gotcha — If an opponent says "creature" or "guy," you may say "Gotcha!" When you do, return Creature Guy from your graveyard to your hand.
Unruly Krasis	1	CLU	Effect:have	have the base power and toughness of another target creature you control become X/X
Kaya, Ghost Haunter	1	CMB1;CMB2	Effect:get	[−1]: You get an emblem with, "At the beginning of your upkeep, this emblem deals 3 damage to the owner of target haunted creature."
Kallist Rhoka	1	UNK	Effect:choose	choose a creature or planeswalker on the battlefield
Drought	1	ICE	Effect:unknown	Spells cost an additional "Sacrifice a Swamp" to cast for each black mana symbol in their mana costs.
Voodoo Doll	1	BCHR;CHR;LEG;ME3	Effect:x	X is the number of pin counters on ~
Invoke Despair	1	NEO;PNEO;PRM	Effect:repeat	repeat this process for an enchantment and a planeswalker
Swirl the Mists	1	CHK	Effect:effect_structure	All instances of color words in the text of spells and permanents are changed to the chosen color word.
Kaust, Eyes of the Glade	1	MKC	Trigger:Whenever a creature you control that was turned face up this turn deals combat damage to a player	Whenever a creature you control that was turned face up this turn deals combat damage to a player, draw a card.
Assimilate Essence	1	MOM	Effect:you	you incubate 2
Soul Drainer	1	UNK	Effect:remove	Remove all commander damage that commander dealt to you
Dispossess	1	AKH;AKR;PAKH	Effect:choose	Choose an artifact card name. Search target opponent's graveyard, hand, and library for any number of cards with the chosen name and exile them. Then that playe
Overencumbered	1	PIP	Swallow:DynamicQty	DynamicQty — Enchant opponent When this Aura enters, enchanted opponent creates a Clue token, a Food token, and a Junk token. At the beginning of combat 
Gorilla Titan	0	ODY	NO-GAP-DETAILS	
Long Feng, Grand Secretariat	1	TLA	Trigger:Whenever another creature you control	Whenever another creature you control, put a +1/+1 counter on target creature you control.
Nahiri, the Unforgiving	1	ONE;PONE	Effect:attack	[+1]: Until your next turn, up to one target creature attacks a player each combat if able.
Sarkhan's Whelp	1	J22;M19;PLST	Trigger:Whenever you activate an ability of a Sarkhan planeswalker	Whenever you activate an ability of a Sarkhan planeswalker, ~ deals 1 damage to any target.
The Dead Shall Serve	1	OARC	Effect:attack	attack its owner each combat if able
Jirina Kudro	1	C20;OC20	Swallow:DynamicQty	DynamicQty — When Jirina Kudro enters, create a 1/1 white Human Soldier creature token for each time you've cast a commander from the command zone this g
Vincent's Limit Break	3	FIN	Effect:{0};Effect:{1};Effect:{3}	• Galian Beast — {0} — 3/2.
Sheriff of Safe Passage	1	OTJ	Swallow:DynamicQty	DynamicQty — This creature enters with a +1/+1 counter on it plus an additional +1/+1 counter on it for each other creature you control. Plot {1}{W} (You
Conjured Currency	1	RTR	Effect:exchange	exchange control of ~ and target permanent you neither own nor control
Daxiver, Izzet Electromancer	1	UNK	Effect:unknown	Rulebreaker — If ~ is your Commander, you may include instant and sorcery cards of any color in your deck regardless of color identity.
