Hellkite Hatchling	1	Swallow:Condition_If	Devour 1 (As this creature enters, you may sacrifice any number of creatures. It enters with that many +1/+1 counters on it.) / This creature has flying and trample if it devoured a creature.
Brain Pry	1	Swallow:Condition_If	Choose a nonland card name. Target player reveals their hand. That player discards a card with that name. If they can't, you draw a card.
Farideh's Fireball	0		Farideh's Fireball deals 5 damage to target creature or planeswalker. Roll a d20. / 1—9 | Farideh's Fireball deals 2 damage to each player. / 10—20 | Farideh's Fireball deals 2 damage to each opponent.
Azor's Gateway	1	Swallow:Condition_If	{1}, {T}: Draw a card, then exile a card from your hand. If cards with five or more different mana values are exiled with Azor's Gateway, you gain 5 life, untap Azor's Gateway, and transform it.
Phosphorescent Feast	1	Swallow:DynamicQty	Chroma — Reveal any number of cards in your hand. You gain 2 life for each green mana symbol in those cards' mana costs.
Grinning Totem	1	Effect:until	{2}, {T}, Sacrifice this artifact: Search target opponent's library for a card and exile it. Then that player shuffles. Until the beginning of your next upkeep, you may play that card. At the beginning of your next upkeep, if you haven't played it, put it into its owner's graveyard.
Signal the Clans	1	Swallow:Condition_If	Search your library for three creature cards and reveal them. If you reveal three cards with different names, choose one of them at random and put that card into your hand. Shuffle the rest into your library.
Blasphemous Edict	1	Swallow:Condition_If	You may pay {B} rather than pay this spell's mana cost if there are thirteen or more creatures on the battlefield. / Each player sacrifices thirteen creatures of their choice.
Honored Hierarch	0		Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.) / As long as this creature is renowned, it has vigilance and "{T}: Add one mana of any color."
Void	1	Swallow:DynamicQty	Choose a number. Destroy all artifacts and creatures with mana value equal to that number. Then target player reveals their hand and discards all nonland cards with mana value equal to the number.
Creepy Puppeteer	1	Swallow:Condition_If	Haste / Whenever this creature attacks, if you attacked with exactly one other creature this combat, you may have that creature's base power and toughness become 4/3 until end of turn.
Dementia Sliver	2	Swallow:ActivateOnlyDuring;Swallow:Condition_If	All Slivers have "{T}: Choose a card name. Target opponent reveals a card at random from their hand. If that card has the chosen name, that player discards it. Activate only during your turn."
Ichormoon Gauntlet	1	Effect:put	Planeswalkers you control have "[0]: Proliferate" and "[−12]: Take an extra turn after this one." / Whenever you cast a noncreature spell, choose a counter on target permanent. Put an additional counter of that kind on that permanent.
The World Spell	0		Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don't trigger. Sacrifice after III.) / I, II — Look at the top seven cards of your library. You may reveal a non-Saga permanent card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. / III — Put up to two non-Saga permanent cards from your hand onto the battlefield.
Syndicate Infiltrator	0		Flying / As long as there are five or more mana values among cards in your graveyard, this creature gets +2/+2.
Identity Crisis	1	Effect:graveyard	Exile all cards from target player's hand and graveyard.
Fists of Flame	1	Swallow:DynamicQty	Draw a card. Until end of turn, target creature gains trample and gets +1/+0 for each card you've drawn this turn. (A creature with trample can deal excess combat damage to the player or planeswalker it's attacking.)
Scion of Draco	1	Effect:static_structure	Domain — This spell costs {2} less to cast for each basic land type among lands you control. / Flying / Each creature you control has vigilance if it's white, hexproof if it's blue, lifelink if it's black, first strike if it's red, and trample if it's green.
Rimefeather Owl	1	Effect:unknown	Flying / Rimefeather Owl's power and toughness are each equal to the number of snow permanents on the battlefield. / {1}{S}: Put an ice counter on target permanent. / Permanents with ice counters on them are snow.
Aegar, the Freezing Flame	1	Effect:wizard,	Whenever a creature or planeswalker an opponent controls is dealt excess damage, if a Giant, Wizard, or spell you controlled dealt damage to it this turn, draw a card.
Shape Anew	1	Effect:the	The controller of target artifact sacrifices it, then reveals cards from the top of their library until they reveal an artifact card. That player puts that card onto the battlefield, then shuffles all other cards revealed this way into their library.
Invasion of Tarkir	1	Effect:deal	(As a Siege enters, choose an opponent to protect it. You and others can attack it. When it's defeated, exile it, then cast it transformed.) / When this Siege enters, reveal any number of Dragon cards from your hand. When you do, this Siege deals X plus 2 damage to any other target, where X is the number of cards revealed this way. (X can be 0.)
Gather Specimens	1	Effect:it	If a creature would enter the battlefield under an opponent's control this turn, it enters under your control instead.
Urborg Scavengers	0		Whenever this creature enters or attacks, exile target card from a graveyard. Put a +1/+1 counter on this creature. / This creature has flying as long as a card exiled with it has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance.
Temple of Power	1	Swallow:Condition_If	(Transforms from Ojer Axonil, Deepest Might.) / {T}: Add {R}. / {2}{R}, {T}: Transform this land. Activate only if red sources you controlled dealt 4 or more noncombat damage this turn and only as a sorcery.
Invoke Despair	1	Effect:repeat	Target opponent sacrifices a creature of their choice. If they can't, they lose 2 life and you draw a card. Then repeat this process for an enchantment and a planeswalker.
Swirl the Mists	1	Effect:effect_structure	As this enchantment enters, choose a color word. / All instances of color words in the text of spells and permanents are changed to the chosen color word.
Assimilate Essence	1	Effect:you	Counter target creature or battle spell unless its controller pays {4}. If they do, you incubate 2. (Create an Incubator token with two +1/+1 counters on it and "{2}: Transform this token." It transforms into a 0/0 Phyrexian artifact creature.)
Dispossess	1	Effect:choose	Choose an artifact card name. Search target opponent's graveyard, hand, and library for any number of cards with the chosen name and exile them. Then that player shuffles.
Long Feng, Grand Secretariat	1	Trigger:Whenever another creature you control	Whenever another creature you control or a land you control is put into a graveyard from the battlefield, put a +1/+1 counter on target creature you control.
