family	pool_count	xpool_count	near_miss_share	primary_file	lane	score	examples
R5-runtime-bespoke	71	10	0.00	engine-runtime	L01	38.0	Aerial Formation; Ajani's Presence; Arcane Investigator; Blinkmoth Nexus
R2-aslongas-conditional-static	70	9	0.00	engine-runtime	L01	37.2	Apostle of Invasion; Armament of Nyx; Aven Heartstabber; Bloodfire Enforcers
Effect:flip::flip ~	8	0	1.00	parser/oracle_effect/imperative.rs	L02	12.0	Budoka Gardener; Bushi Tenderfoot; Jushi Apprentice; Kuon, Ogre Ascendant
Effect:flip::flip it	8	0	1.00	parser/oracle_effect/imperative.rs	L02	12.0	Akki Lavarunner; Budoka Pupil; Callow Jushi; Cunning Bandit
Effect:otherwise::otherwise	17	1	0.12	parser/oracle_effect/conditions.rs	L09	10.8	Advice from the Fae; Auratouched Mage; Bounty of the Luxa; Bre of Clan Stoutarm
R3-level-up	21	0	0.00	engine-runtime	L01	10.5	Beastbreaker of Bala Ged; Brimstone Mage; Caravan Escort; Coralhelm Commander
Effect:orphaned_copy_retarget::you may choose new targets for the copy	5	3	1.00	parser/oracle_effect/mod.rs	L03	9.8	Pit Automaton; Primal Wellspring; Pyromancer's Goggles; Spider-Verse
Swallow:Condition_If::creature attacks, if you attacked with creatures with	5	0	1.00	parser/oracle_nom/condition.rs	L04	7.5	Gnoll Hunter; Hobgoblin Captain; Intrepid Outlander; Minion of the Mighty
Effect:when::when you pay this cost N or more	5	0	1.00	parser/oracle_effect/conditions.rs	L09	7.5	Bloodthirsty Adversary; Intrepid Adversary; Primal Adversary; Spectral Adversary
R1-speed-mechanic	9	9	0.00	engine-runtime	L01	6.8	Burnout Bashtronaut; Gastal Raider; Gastal Thrillseeker; Lightwheel Enhancements
Effect:search::search its controller's graveyard, hand, and library for	4	1	1.00	parser/oracle_effect/imperative.rs	L02	6.8	Crumble to Dust; Deicide; Test of Talents; The End
Swallow:Condition_If::as an additional cost to cast this spell,	3	0	1.00	parser/oracle_nom/condition.rs	L04	4.5	Anchor to Reality; Foul-Tongue Invocation; Lethal Throwdown
Swallow:Condition_If::add {M}. if that mana is spent on	3	0	1.00	parser/oracle_nom/condition.rs	L04	4.5	Boseiju, Who Shelters All; Generator Servant; Hall of the Bandit Lord
