+2 Mace	1	AFR	Effect:static_structure	Equipped creature gets ~/~.
Aberrant Mind Sorcerer	1	AFR	Swallow:Optional_YouMay	Optional_YouMay — Psionic Spells — When this creature enters, choose target instant or sorcery card in your graveyard, then roll a d20. 1—9 | You may put 
Absorb Identity	1	KHM	Effect:have	have Shapeshifters you control become copies of that creature
Academic Probation	2	PRM;PSTX;STX	Effect:can't;Effect:with	with the chosen name
Academy Loremaster	1	DMU;PDMU;PRM	Effect:spells	spells they cast this turn cost {2} more to cast
Adrestia	1	ACR	Swallow:Condition_If	Condition_If — Islandwalk (This creature can't be blocked as long as defending player controls an Island.) Whenever Adrestia attacks, if an Assassin crewed
Advice from the Fae	1	SHM	Effect:otherwise	Otherwise
Aegar, the Freezing Flame	1	KHM;MUL;PRM	Effect:wizard,	Wizard, or spell you controlled dealt damage to it this turn, draw a card
Aether Revolt	2	MH3;PMH3	Swallow:Condition_AsLongAs;Swallow:Condition_If	Condition_If — Revolt — As long as a permanent left the battlefield under your control this turn, if a source you control would deal noncombat damage to 
Aeve, Progenitor Ooze	1	J21;MH2;PMH2;PRM	Effect:effect_structure	~ isn't legendary if it's a token.
Agency Coroner	1	MKM	Swallow:Condition_If	Condition_If — {2}{B}, Sacrifice another creature: Draw a card. If the sacrificed creature was suspected, draw two cards instead.
Ajani Goldmane	1	LRW;M10;M11;PPRO;PRM;SLD	Effect:create	[−6]: Create a white Avatar creature token. It has "~'s power and toughness are each equal to your life total."
Ajani, Strength of the Pride	1	J22;M20;PLST;PM20	Effect:gain	[+1]: You gain life equal to the number of creatures you control plus the number of planeswalkers you control.
Ajani Unyielding	1	AER;C20;KLR;NCC;PAER	Effect:five	five loyalty counters on each other planeswalker you control
A Killer Among Us	1	MKM	Swallow:Condition_If	Condition_If — When this enchantment enters, create a 1/1 white Human creature token, a 1/1 blue Merfolk creature token, and a 1/1 red Goblin creature toke
Akiri, Fearless Voyager	1	CMM;PRM;PZNR;ZNR	Effect:unattach	{W}: You may unattach an Equipment from a creature you control. If you do, tap that creature and it gains indestructible until end of turn.
Akki Lavarunner	1	CHK	Effect:flip	flip it
Alania, Divergent Storm	1	BLB;PBLB	Effect:the	the first sorcery spell, or the first Otter spell other than ~ you've cast this turn, you may have target opponent draw a card
Alchemist's Gift	1	J25;M21	Effect:gain	gain your choice of deathtouch or lifelink
Alhammarret, High Arbiter	1	ORI;PORI;PRM	Effect:unknown	As ~ enters, each opponent reveals their hand. You choose the name of a nonland card revealed this way.
All Suns' Dawn	1	5DN;MM2;PLST	Effect:for	For each color, return up to one target card of that color from your graveyard to your hand. Exile ~.
Alms Beast	1	GTC	Effect:static_structure	Creatures blocking or blocked by ~ have lifelink.
Alpine Moon	1	M19;PLST;PM19	Effect:unknown	As ~ enters, choose a nonbasic land card name.
Altaïr Ibn-La'Ahad	1	ACR	Effect:for	for each creature card you own in exile with a memory counter on it
Altar of the Pantheon	2	PLST;THB	Effect:a;Effect:unknown	Your devotion to each color and each combination of colors is increased by one.
Amalia Benavides Aguirre	1	LCI;PLCI	Swallow:Condition_If	Condition_If — Ward—Pay 3 life. Whenever you gain life, Amalia Benavides Aguirre explores. Then destroy all other creatures if its power is exactly 20. (
Amplifire	1	PRNA;RNA	Effect:~'s	~'s base power becomes twice that card's power and its base toughness becomes twice that card's toughness
Anax, Hardened in the Forge	1	CMM;PLST;PRM;THB	Swallow:Condition_If	Condition_If — Anax's power is equal to your devotion to red. (Each {R} in the mana costs of permanents you control counts toward your devotion to red.) Wh
Anchor to Reality	1	NEO	Swallow:Condition_If	Condition_If — As an additional cost to cast this spell, sacrifice an artifact or creature. Search your library for an Equipment or Vehicle card, put that 
Andúril, Flame of the West	1	LTR;PLTR	Effect:instead	instead create two of those tokens that are tapped and attacking
Angel of Grace	1	RNA	Effect:damage	damage that would reduce your life total to less than 1 reduces it to 1 instead
Angel's Grace	2	MMA;PLST;PTSR;SOA;TSP;TSR	Effect:can't;Effect:damage	You can't lose the game this turn and your opponents can't win the game this turn. Until end of turn, damage that would reduce your life total to less than 1 re
Angrath, Minotaur Pirate	1	RIX	Effect:deal	deal damage to that player equal to their total power
Animation Module	1	KLD;KLR;PKLD	Effect:give	Give that permanent or player another counter of that kind
Anointed Peacekeeper	1	DMU;PDMU;PRM	Effect:unknown	As ~ enters, look at an opponent's hand, then choose any card name.
Another Round	1	OTJ;POTJ	Effect:repeat	repeat this process X more times
Antiquities on the Loose	1	PSOS;SOS	Swallow:Condition_If	Condition_If — Create two 2/2 red and white Spirit creature tokens. Then if this spell was cast from anywhere other than your hand, put a +1/+1 counter on 
Anti-Venom, Horrifying Healer	1	LMAR;OM1;PSPM;SPM	Swallow:Condition_If	Condition_If — When Anti-Venom enters, if he was cast, return target creature card from your graveyard to the battlefield. If damage would be dealt to Anti
Ao, the Dawn Sky	1	NEO;PNEO;PRM;SOC	Effect:modal_mode_unsupported_qualifier	Look at the top seven cards of your library. Put any number of nonland permanent cards with total mana value 4 or less from among them onto the battlefield. Put
Apocalypse Hydra	1	BBD;CON;MM2	Swallow:Condition_If	Condition_If — This creature enters with X +1/+1 counters on it. If X is 5 or more, it enters with an additional X +1/+1 counters on it. {1}{R}, Remove a +
Apostle of Invasion	0	ONE	NO-GAP-DETAILS	
Aquamorph Entity	1	DDN;PLC	Effect:replacement_structure	As ~ enters or is turned face up, it becomes your choice of 5/1 or 1/5.
Aragorn, Company Leader	1	LTR;PLTR	Effect:put	put your choice of a counter from among first strike, vigilance, deathtouch, and lifelink on ~
Arashin Sovereign	1	DTK;PDTK;PRM	Effect:put	put it on your choice of the top or bottom of its owner's library
Arbiter of the Ideal	1	BNG;PBNG;PRM	Effect:creature,	creature, or land card
Arcane Adaptation	1	PLST;PXLN;XLN	Effect:unknown	The same is true for creature spells you control and creature cards you own that aren't on the battlefield.
Arcane Investigator	0	AFR	NO-GAP-DETAILS	
Arcanum Wings	1	FUT	Effect:unknown	Aura swap {2}{U}
Archmage Ascension	1	ZEN	Effect:instead	instead search your library for a card, put that card into your hand, then shuffle
Ardenvale Paladin	1	ELD	Swallow:Condition_If	Condition_If — Adamant — If at least three white mana was spent to cast this spell, this creature enters with a +1/+1 counter on it.
Arid Archway	1	OTJ	Swallow:Condition_If	Condition_If — This land enters tapped. When this land enters, return a land you control to its owner's hand. If another Desert was returned this way, surv
Arlinn, Embraced by the Moon	1	INR;PLST;PSOI;SIR;SOI;V17	Swallow:DynamicQty	DynamicQty — [+1]: Creatures you control get +1/+1 and gain trample until end of turn. [−1]: Arlinn deals 3 damage to any target. Transform Arlinn. [
Armament of Nyx	0	JOU	NO-GAP-DETAILS	
Arna Kennerüd, Skycaptain	1	MH3;PMH3	Effect:for	for each nontoken permanent attached to it
Arni Brokenbrow	1	KHM;PKHM;PRM	Effect:change	Boast — {1}: You may change Arni's base power to 1 plus the greatest power among other creatures you control until end of turn.
