family	pool_count	xpool_count	near_miss_share	primary_file	lane	score	examples
R5-runtime-bespoke	10	71	0.00	engine-runtime	L01	22.8	Cecil, Dark Knight; Dissection Practice; Fire Magic; Restless Prairie
R2-aslongas-conditional-static	9	70	0.00	engine-runtime	L01	22.0	Deepway Navigator; Earth Rumble Wrestlers; Elenda, Saint of Dusk; Howling Galefang
Effect:orphaned_copy_retarget::you may choose new targets for the copy	3	5	1.00	parser/oracle_effect/mod.rs	L03	8.2	Pit Automaton; Pyromancer's Goggles; Spider-Verse
R1-speed-mechanic	9	9	0.00	engine-runtime	L01	6.8	Burnout Bashtronaut; Gastal Raider; Gastal Thrillseeker; Lightwheel Enhancements
Effect:otherwise::otherwise	1	17	0.12	parser/oracle_effect/conditions.rs	L09	5.9	Bre of Clan Stoutarm
Effect:search::search its controller's graveyard, hand, and library for	1	4	1.00	parser/oracle_effect/imperative.rs	L02	4.5	The End
Swallow:DynamicQty::~ deals N damage to target creature and	1	2	1.00	parser/oracle_quantity.rs	L06	3.0	Judgment Bolt
Swallow:DynamicQty::copy it for each other instant and sorcery	1	2	1.00	parser/oracle_quantity.rs	L06	3.0	Thousand-Year Storm
Swallow:DynamicQty::as an additional cost to cast this spell,	1	2	1.00	parser/oracle_quantity.rs	L06	3.0	Urgent Necropsy
Effect:unknown::once each turn, you may pay {M} rather	1	2	1.00	parser/oracle_effect/mod.rs	L03	3.0	Warped Space
Effect:unknown::as ~ enters, look at an opponent's hand,	1	2	1.00	parser/oracle_effect/mod.rs	L03	3.0	Sorcerous Spyglass
Effect:search::search its owner's graveyard, hand, and library for	1	2	1.00	parser/oracle_effect/imperative.rs	L02	3.0	Deadly Cover-Up
Trigger:Whenever ~ is dealt 3 or more damage::whenever ~ is dealt N or more damage,	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Innocent Bystander
Trigger:Whenever you untap one or more permanents during your untap step::whenever you untap N or more permanents during	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	The Millennium Calendar
Trigger:Whenever you tap one or more untapped creatures your opponents control::whenever you tap N or more untapped creatures	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Sharae of Numbing Depths
Trigger:Whenever you solve a Case::whenever you solve a case, look at the	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Case File Auditor
Trigger:Whenever you give a gift::whenever you give a gift, draw a card	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Jolly Gerbils
Trigger:Whenever you forage::whenever you forage, put a +N/+N counter on	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Corpseberry Cultivator
Trigger:Whenever you draw your first or second card each turn::whenever you draw your first or second card	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Lady Octopus, Inspired Inventor
Trigger:Whenever you discover::whenever you discover, discover again for the same	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Curator of Sun's Creation
Trigger:Whenever you activate an ability that targets a creature or player::whenever you activate an ability that targets a	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Ertha Jo, Frontier Mentor
Trigger:Whenever one or more of your opponents are attacked::whenever N or more of your opponents are	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Party Dude
Trigger:Whenever another creature you control::whenever another creature you control, put a +N/+N	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Long Feng, Grand Secretariat
Trigger:Whenever an opponent gains control of a permanent from you::whenever an opponent gains control of a permanent	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Zidane, Tantalus Thief
Trigger:Whenever an Aura you control becomes attached to a nonland permanent an opponent controls with mana value less than or equal to that Aura's mana value::whenever an aura you control becomes attached to	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Eriette, the Beguiler
Trigger:Whenever a creature you control::whenever a creature you control, draw a card	1	1	1.00	parser/oracle_effect/mod.rs	L03	2.2	Surrak, Elusive Hunter
Trigger:Whenever a creature you control explores a nonland card::whenever a creature you control explores a nonland	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Nicanzil, Current Conductor
Trigger:Whenever a creature you control explores a land card::whenever a creature you control explores a land	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Nicanzil, Current Conductor
